,,,Installation Bottom,,,,,,,Installation Top,,,,,,
Layer,Headboard,Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan
G,1,1,T,66,49,106,2,13,0,B,95,16,105,1,4,7
G,1,2,T,95,64,105,1,16,7,B,66,1,106,2,1,0
G,1,3,T,94,63,105,2,16,7,B,67,2,106,1,1,0
G,1,4,T,91,62,106,1,16,6,B,70,3,105,2,1,1
G,1,5,T,90,61,106,2,16,6,B,71,4,105,1,1,1
G,1,6,T,87,60,105,1,15,5,B,74,5,106,2,2,2
G,1,7,T,86,59,105,2,15,5,B,75,6,106,1,2,2
G,1,8,T,83,58,106,1,15,4,B,78,7,105,2,2,3
G,1,9,T,82,57,106,2,15,4,B,79,8,105,1,2,3
G,1,10,T,79,40,105,1,10,3,B,82,25,106,2,7,4
G,1,11,T,78,39,105,2,10,3,B,83,26,106,1,7,4
G,1,12,T,75,38,106,1,10,2,B,86,27,105,2,7,5
G,1,13,T,74,37,106,2,10,2,B,87,28,105,1,7,5
G,1,14,T,71,36,105,1,9,1,B,90,29,106,2,8,6
G,1,15,T,70,35,105,2,9,1,B,91,30,106,1,8,6
G,1,16,T,67,34,106,1,9,0,B,94,31,105,2,8,7
G,1,17,T,66,33,106,2,9,0,B,95,32,105,1,8,7
G,1,18,T,95,16,105,1,4,7,B,66,49,106,2,13,0
G,1,19,T,94,15,105,2,4,7,B,67,50,106,1,13,0
G,1,20,T,91,14,106,1,4,6,B,70,51,105,2,13,1
G,1,21,T,90,13,106,2,4,6,B,71,52,105,1,13,1
G,1,22,T,87,12,105,1,3,5,B,74,53,106,2,14,2
G,1,23,T,86,11,105,2,3,5,B,75,54,106,1,14,2
G,1,24,T,83,10,106,1,3,4,B,78,55,105,2,14,3
G,1,25,T,82,9,106,2,3,4,B,79,56,105,1,14,3
G,1,26,B,79,56,105,1,14,3,T,82,9,106,2,3,4
G,1,27,B,78,55,105,2,14,3,T,83,10,106,1,3,4
G,1,28,B,75,54,106,1,14,2,T,86,11,105,2,3,5
G,1,29,B,74,53,106,2,14,2,T,87,12,105,1,3,5
G,1,30,B,71,52,105,1,13,1,T,90,13,106,2,4,6
G,1,31,B,70,51,105,2,13,1,T,91,14,106,1,4,6
G,1,32,B,67,50,106,1,13,0,T,94,15,105,2,4,7
G,1,33,B,66,49,106,2,13,0,T,95,16,105,1,4,7
G,1,34,B,95,32,105,1,8,7,T,66,33,106,2,9,0
G,1,35,B,94,31,105,2,8,7,T,67,34,106,1,9,0
G,1,36,B,91,30,106,1,8,6,T,70,35,105,2,9,1
G,1,37,B,90,29,106,2,8,6,T,71,36,105,1,9,1
G,1,38,B,87,28,105,1,7,5,T,74,37,106,2,10,2
G,1,39,B,86,27,105,2,7,5,T,75,38,106,1,10,2
G,1,40,B,83,26,106,1,7,4,T,78,39,105,2,10,3
G,1,41,B,82,25,106,2,7,4,T,79,40,105,1,10,3
G,1,42,B,79,8,105,1,2,3,T,82,57,106,2,15,4
G,1,43,B,78,7,105,2,2,3,T,83,58,106,1,15,4
G,1,44,B,75,6,106,1,2,2,T,86,59,105,2,15,5
G,1,45,B,74,5,106,2,2,2,T,87,60,105,1,15,5
G,1,46,B,71,4,105,1,1,1,T,90,61,106,2,16,6
G,1,47,B,70,3,105,2,1,1,T,91,62,106,1,16,6
G,1,48,B,67,2,106,1,1,0,T,94,63,105,2,16,7
G,1,49,B,68,1,106,2,1,0,T,95,64,105,1,16,7
G,2,50,T,95,64,105,1,16,7,B,66,1,106,2,1,0
G,2,51,T,94,63,105,2,16,7,B,67,2,106,1,1,0
G,2,52,T,91,62,106,1,16,6,B,70,3,105,2,1,1
G,2,53,T,90,61,106,2,16,6,B,71,4,105,1,1,1
G,2,54,T,87,60,105,1,15,5,B,74,5,106,2,2,2
G,2,55,T,86,59,105,2,15,5,B,75,6,106,1,2,2
G,2,56,T,83,58,106,1,15,4,B,78,7,105,2,2,3
G,2,57,T,82,57,106,2,15,4,B,79,8,105,1,2,3
G,2,58,T,79,40,105,1,10,3,B,82,25,106,2,7,4
G,2,59,T,78,39,105,2,10,3,B,83,26,106,1,7,4
G,2,60,T,75,38,106,1,10,2,B,86,27,105,2,7,5
G,2,61,T,74,37,106,2,10,2,B,87,28,105,1,7,5
G,2,62,T,71,36,105,1,9,1,B,90,29,106,2,8,6
G,2,63,T,70,35,105,2,9,1,B,91,30,106,1,8,6
G,2,64,T,67,34,106,1,9,0,B,94,31,105,2,8,7
G,2,65,T,66,33,106,2,9,0,B,95,32,105,1,8,7
G,2,66,T,95,16,105,1,4,7,B,66,49,106,2,13,0
G,2,67,T,94,15,105,2,4,7,B,67,50,106,1,13,0
G,2,68,T,91,14,106,1,4,6,B,70,51,105,2,13,1
G,2,69,T,90,13,106,2,4,6,B,71,52,105,1,13,1
G,2,70,T,87,12,105,1,3,5,B,74,53,106,2,14,2
G,2,71,T,86,11,105,2,3,5,B,75,54,106,1,14,2
G,2,72,T,83,10,106,1,3,4,B,78,55,105,2,14,3
G,2,73,T,82,9,106,2,3,4,B,79,56,105,1,14,3
G,2,74,B,79,56,105,1,14,3,T,82,9,106,2,3,4
G,2,75,B,78,55,105,2,14,3,T,83,10,106,1,3,4
G,2,76,B,75,54,106,1,14,2,T,86,11,105,2,3,5
G,2,77,B,74,53,106,2,14,2,T,87,12,105,1,3,5
G,2,78,B,71,52,105,1,13,1,T,90,13,106,2,4,6
G,2,79,B,70,51,105,2,13,1,T,91,14,106,1,4,6
G,2,80,B,67,50,106,1,13,0,T,94,15,105,2,4,7
G,2,81,B,66,49,106,2,13,0,T,95,16,105,1,4,7
G,2,82,B,95,32,105,1,8,7,T,66,33,106,2,9,0
G,2,83,B,94,31,105,2,8,7,T,67,34,106,1,9,0
G,2,84,B,91,30,106,1,8,6,T,70,35,105,2,9,1
G,2,85,B,90,29,106,2,8,6,T,71,36,105,1,9,1
G,2,86,B,87,28,105,1,7,5,T,74,37,106,2,10,2
G,2,87,B,86,27,105,2,7,5,T,75,38,106,1,10,2
G,2,88,B,83,26,106,1,7,4,T,78,39,105,2,10,3
G,2,89,B,82,25,106,2,7,4,T,79,40,105,1,10,3
G,2,90,B,79,8,105,1,2,3,T,82,57,106,2,15,4
G,2,91,B,78,7,105,2,2,3,T,83,58,106,1,15,4
G,2,92,B,75,6,106,1,2,2,T,86,59,105,2,15,5
G,2,93,B,74,5,106,2,2,2,T,87,60,105,1,15,5
G,2,94,B,71,4,105,1,1,1,T,90,61,106,2,16,6
G,2,95,B,70,3,105,2,1,1,T,91,62,106,1,16,6
G,2,96,B,67,2,106,1,1,0,T,94,63,105,2,16,7
G,2,97,B,68,1,106,2,1,0,T,95,64,105,1,16,7
G,3,98,T,95,64,105,1,16,7,B,66,1,106,2,1,0
G,3,99,T,94,63,105,2,16,7,B,67,2,106,1,1,0
G,3,100,T,91,62,106,1,16,6,B,70,3,105,2,1,1
G,3,101,T,90,61,106,2,16,6,B,71,4,105,1,1,1
G,3,102,T,87,60,105,1,15,5,B,74,5,106,2,2,2
G,3,103,T,86,59,105,2,15,5,B,75,6,106,1,2,2
G,3,104,T,83,58,106,1,15,4,B,78,7,105,2,2,3
G,3,105,T,82,57,106,2,15,4,B,79,8,105,1,2,3
G,3,106,T,79,40,105,1,10,3,B,82,25,106,2,7,4
G,3,107,T,78,39,105,2,10,3,B,83,26,106,1,7,4
G,3,108,T,75,38,106,1,10,2,B,86,27,105,2,7,5
G,3,109,T,74,37,106,2,10,2,B,87,28,105,1,7,5
G,3,110,T,71,36,105,1,9,1,B,90,29,106,2,8,6
G,3,111,T,70,35,105,2,9,1,B,91,30,106,1,8,6
G,3,112,T,67,34,106,1,9,0,B,94,31,105,2,8,7
G,3,113,T,66,33,106,2,9,0,B,95,32,105,1,8,7
G,3,114,T,95,16,105,1,4,7,B,66,49,106,2,13,0
G,3,115,T,94,15,105,2,4,7,B,67,50,106,1,13,0
G,3,116,T,91,14,106,1,4,6,B,70,51,105,2,13,1
G,3,117,T,90,13,106,2,4,6,B,71,52,105,1,13,1
G,3,118,T,87,12,105,1,3,5,B,74,53,106,2,14,2
G,3,119,T,86,11,105,2,3,5,B,75,54,106,1,14,2
G,3,120,T,83,10,106,1,3,4,B,78,55,105,2,14,3
G,3,121,T,82,9,106,2,3,4,B,79,56,105,1,14,3
G,3,122,B,79,56,105,1,14,3,T,82,9,106,2,3,4
G,3,123,B,78,55,105,2,14,3,T,83,10,106,1,3,4
G,3,124,B,75,54,106,1,14,2,T,86,11,105,2,3,5
G,3,125,B,74,53,106,2,14,2,T,87,12,105,1,3,5
G,3,126,B,71,52,105,1,13,1,T,90,13,106,2,4,6
G,3,127,B,70,51,105,2,13,1,T,91,14,106,1,4,6
G,3,128,B,67,50,106,1,13,0,T,94,15,105,2,4,7
G,3,129,B,66,49,106,2,13,0,T,95,16,105,1,4,7
G,3,130,B,95,32,105,1,8,7,T,66,33,106,2,9,0
G,3,131,B,94,31,105,2,8,7,T,67,34,106,1,9,0
G,3,132,B,91,30,106,1,8,6,T,70,35,105,2,9,1
G,3,133,B,90,29,106,2,8,6,T,71,36,105,1,9,1
G,3,134,B,87,28,105,1,7,5,T,74,37,106,2,10,2
G,3,135,B,86,27,105,2,7,5,T,75,38,106,1,10,2
G,3,136,B,83,26,106,1,7,4,T,78,39,105,2,10,3
G,3,137,B,82,25,106,2,7,4,T,79,40,105,1,10,3
G,3,138,B,79,8,105,1,2,3,T,82,57,106,2,15,4
G,3,139,B,78,7,105,2,2,3,T,83,58,106,1,15,4
G,3,140,B,75,6,106,1,2,2,T,86,59,105,2,15,5
G,3,141,B,74,5,106,2,2,2,T,87,60,105,1,15,5
G,3,142,B,71,4,105,1,1,1,T,90,61,106,2,16,6
G,3,143,B,70,3,105,2,1,1,T,91,62,106,1,16,6
G,3,144,B,67,2,106,1,1,0,T,94,63,105,2,16,7
G,3,145,B,68,1,106,2,1,0,T,95,64,105,1,16,7
G,4,146,T,95,64,105,1,16,7,B,66,1,106,2,1,0
G,4,147,T,94,63,105,2,16,7,B,67,2,106,1,1,0
G,4,148,T,91,62,106,1,16,6,B,70,3,105,2,1,1
G,4,149,T,90,61,106,2,16,6,B,71,4,105,1,1,1
G,4,150,T,87,60,105,1,15,5,B,74,5,106,2,2,2
G,4,151,T,86,59,105,2,15,5,B,75,6,106,1,2,2
G,4,152,T,83,58,106,1,15,4,B,78,7,105,2,2,3
G,4,153,T,82,57,106,2,15,4,B,79,8,105,1,2,3
G,4,154,T,79,40,105,1,10,3,B,82,25,106,2,7,4
G,4,155,T,78,39,105,2,10,3,B,83,26,106,1,7,4
G,4,156,T,75,38,106,1,10,2,B,86,27,105,2,7,5
G,4,157,T,74,37,106,2,10,2,B,87,28,105,1,7,5
G,4,158,T,71,36,105,1,9,1,B,90,29,106,2,8,6
G,4,159,T,70,35,105,2,9,1,B,91,30,106,1,8,6
G,4,160,T,67,34,106,1,9,0,B,94,31,105,2,8,7
G,4,161,T,66,33,106,2,9,0,B,95,32,105,1,8,7
G,4,162,T,95,16,105,1,4,7,B,66,49,106,2,13,0
G,4,163,T,94,15,105,2,4,7,B,67,50,106,1,13,0
G,4,164,T,91,14,106,1,4,6,B,70,51,105,2,13,1
G,4,165,T,90,13,106,2,4,6,B,71,52,105,1,13,1
G,4,166,T,87,12,105,1,3,5,B,74,53,106,2,14,2
