,,,Installation Bottom,,,,,,,Installation Top,,,,,,
Layer,Headboard,Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan
U,10,1,B,66,17,106,2,5,0,T,95,48,105,1,12,7
U,10,2,B,67,18,106,1,5,0,T,94,47,105,2,12,7
U,10,3,B,70,19,105,2,5,1,T,91,46,106,1,12,6
U,10,4,B,71,20,105,1,5,1,T,90,45,106,2,12,6
U,10,5,B,74,21,106,2,6,2,T,87,44,105,1,11,5
U,10,6,B,75,22,106,1,6,2,T,86,43,105,2,11,5
U,10,7,B,78,23,105,2,6,3,T,83,42,106,1,11,4
U,10,8,B,79,24,105,1,6,3,T,82,41,106,2,11,4
U,10,9,B,82,41,106,2,11,4,T,79,24,105,1,6,3
U,10,10,B,83,42,106,1,11,4,T,78,23,105,2,6,3
U,10,11,B,86,43,105,2,11,5,T,75,22,106,1,6,2
U,10,12,B,87,44,105,1,11,5,T,74,21,106,2,6,2
U,10,13,B,90,45,106,2,12,6,T,71,20,105,1,5,1
U,10,14,B,91,46,106,1,12,6,T,70,19,105,2,5,1
U,10,15,B,94,47,105,2,12,7,T,67,18,106,1,5,0
U,10,16,B,95,48,105,1,12,7,T,66,17,106,2,5,0
U,10,17,T,66,1,106,2,1,0,B,95,64,105,1,16,7
U,10,18,T,67,2,106,1,1,0,B,94,63,105,2,16,6
U,10,19,T,70,3,105,2,1,1,B,91,62,106,1,16,6
U,10,20,T,71,4,105,1,1,1,B,90,61,106,2,16,6
U,10,21,T,74,5,106,2,2,2,B,87,60,105,1,15,5
U,10,22,T,75,6,106,1,2,2,B,86,59,105,2,15,5
U,10,23,T,78,7,105,2,2,3,B,83,58,106,1,15,4
U,10,24,T,79,8,105,1,2,3,B,82,57,106,2,15,4
U,10,25,T,82,25,106,2,7,4,B,79,40,105,1,10,3
U,10,26,T,83,26,106,1,7,4,B,78,39,105,2,10,3
U,10,27,T,86,27,105,2,7,5,B,75,38,106,1,10,2
U,10,28,T,87,28,105,1,7,5,B,74,37,106,2,10,2
U,10,29,T,90,29,106,2,8,6,B,71,36,105,1,9,1
U,10,30,T,91,30,106,1,8,6,B,70,35,105,2,9,1
U,10,31,T,94,31,105,2,8,7,B,67,34,106,1,9,0
U,10,32,T,95,32,105,1,8,7,B,66,33,106,2,9,0
U,10,33,T,66,49,106,2,13,0,B,95,16,105,1,4,7
U,10,34,T,67,50,106,1,13,0,B,94,15,105,2,4,7
U,10,35,T,70,51,105,2,13,1,B,91,14,106,1,4,6
U,10,36,T,71,52,105,1,13,1,B,90,13,106,2,4,6
U,10,37,T,74,53,106,2,14,2,B,87,12,105,1,3,5
U,10,38,T,75,54,106,1,14,2,B,86,11,105,2,3,5
U,10,39,T,78,55,105,2,14,3,B,83,10,106,1,3,4
U,10,40,T,79,56,105,1,14,3,B,82,9,106,2,3,4
U,9,41,B,66,17,106,2,5,0,T,95,48,105,1,12,7
U,9,42,B,67,18,106,1,5,0,T,94,47,105,2,12,7
U,9,43,B,70,19,105,2,5,1,T,91,46,106,1,12,6
U,9,44,B,71,20,105,1,5,1,T,90,45,106,2,12,6
U,9,45,B,74,21,106,2,6,2,T,87,44,105,1,11,5
U,9,46,B,75,22,106,1,6,2,T,86,43,105,2,11,5
U,9,47,B,78,23,105,2,6,3,T,83,42,106,1,11,4
U,9,48,B,79,24,105,1,6,3,T,82,41,106,2,11,4
U,9,49,B,82,41,106,2,11,4,T,79,24,105,1,6,3
U,9,50,B,83,42,106,1,11,4,T,78,23,105,2,6,3
U,9,51,B,86,43,105,2,11,5,T,75,22,106,1,6,2
U,9,52,B,87,44,105,1,11,5,T,74,21,106,2,6,2
U,9,53,B,90,45,106,2,12,6,T,71,20,105,1,5,1
U,9,54,B,91,46,106,1,12,6,T,70,19,105,2,5,1
U,9,55,B,94,47,105,2,12,7,T,67,18,106,1,5,0
U,9,56,B,95,48,105,1,12,7,T,66,17,106,2,5,0
U,9,57,T,66,1,106,2,1,0,B,95,64,105,1,16,7
U,9,58,T,67,2,106,1,1,0,B,94,63,105,2,16,6
U,9,59,T,70,3,105,2,1,1,B,91,62,106,1,16,6
U,9,60,T,71,4,105,1,1,1,B,90,61,106,2,16,6
U,9,61,T,74,5,106,2,2,2,B,87,60,105,1,15,5
U,9,62,T,75,6,106,1,2,2,B,86,59,105,2,15,5
U,9,63,T,78,7,105,2,2,3,B,83,58,106,1,15,4
U,9,64,T,79,8,105,1,2,3,B,82,57,106,2,15,4
U,9,65,T,82,25,106,2,7,4,B,79,40,105,1,10,3
U,9,66,T,83,26,106,1,7,4,B,78,39,105,2,10,3
U,9,67,T,86,27,105,2,7,5,B,75,38,106,1,10,2
U,9,68,T,87,28,105,1,7,5,B,74,37,106,2,10,2
U,9,69,T,90,29,106,2,8,6,B,71,36,105,1,9,1
U,9,70,T,91,30,106,1,8,6,B,70,35,105,2,9,1
U,9,71,T,94,31,105,2,8,7,B,67,34,106,1,9,0
U,9,72,T,95,32,105,1,8,7,B,66,33,106,2,9,0
U,9,73,T,66,49,106,2,13,0,B,95,16,105,1,4,7
U,9,74,T,67,50,106,1,13,0,B,94,15,105,2,4,7
U,9,75,T,70,51,105,2,13,1,B,91,14,106,1,4,6
U,9,76,T,71,52,105,1,13,1,B,90,13,106,2,4,6
U,9,77,T,74,53,106,2,14,2,B,87,12,105,1,3,5
U,9,78,T,75,54,106,1,14,2,B,86,11,105,2,3,5
U,9,79,T,78,55,105,2,14,3,B,83,10,106,1,3,4
U,9,80,T,79,56,105,1,14,3,B,82,9,106,2,3,4
U,8,81,B,66,17,106,2,5,0,T,95,48,105,1,12,7
U,8,82,B,67,18,106,1,5,0,T,94,47,105,2,12,7
U,8,83,B,70,19,105,2,5,1,T,91,46,106,1,12,6
U,8,84,B,71,20,105,1,5,1,T,90,45,106,2,12,6
U,8,85,B,74,21,106,2,6,2,T,87,44,105,1,11,5
U,8,86,B,75,22,106,1,6,2,T,86,43,105,2,11,5
U,8,87,B,78,23,105,2,6,3,T,83,42,106,1,11,4
U,8,88,B,79,24,105,1,6,3,T,82,41,106,2,11,4
U,8,89,B,82,41,106,2,11,4,T,79,24,105,1,6,3
U,8,90,B,83,42,106,1,11,4,T,78,23,105,2,6,3
U,8,91,B,86,43,105,2,11,5,T,75,22,106,1,6,2
U,8,92,B,87,44,105,1,11,5,T,74,21,106,2,6,2
U,8,93,B,90,45,106,2,12,6,T,71,20,105,1,5,1
U,8,94,B,91,46,106,1,12,6,T,70,19,105,2,5,1
U,8,95,B,94,47,105,2,12,7,T,67,18,106,1,5,0
U,8,96,B,95,48,105,1,12,7,T,66,17,106,2,5,0
U,8,97,T,66,1,106,2,1,0,B,95,64,105,1,16,7
U,8,98,T,67,2,106,1,1,0,B,94,63,105,2,16,6
U,8,99,T,70,3,105,2,1,1,B,91,62,106,1,16,6
U,8,100,T,71,4,105,1,1,1,B,90,61,106,2,16,6
U,8,101,T,74,5,106,2,2,2,B,87,60,105,1,15,5
U,8,102,T,75,6,106,1,2,2,B,86,59,105,2,15,5
U,8,103,T,78,7,105,2,2,3,B,83,58,106,1,15,4
U,8,104,T,79,8,105,1,2,3,B,82,57,106,2,15,4
U,8,105,T,82,25,106,2,7,4,B,79,40,105,1,10,3
U,8,106,T,83,26,106,1,7,4,B,78,39,105,2,10,3
U,8,107,T,86,27,105,2,7,5,B,75,38,106,1,10,2
U,8,108,T,87,28,105,1,7,5,B,74,37,106,2,10,2
U,8,109,T,90,29,106,2,8,6,B,71,36,105,1,9,1
U,8,110,T,91,30,106,1,8,6,B,70,35,105,2,9,1
U,8,111,T,94,31,105,2,8,7,B,67,34,106,1,9,0
U,8,112,T,95,32,105,1,8,7,B,66,33,106,2,9,0
U,8,113,T,66,49,106,2,13,0,B,95,16,105,1,4,7
U,8,114,T,67,50,106,1,13,0,B,94,15,105,2,4,7
U,8,115,T,70,51,105,2,13,1,B,91,14,106,1,4,6
U,8,116,T,71,52,105,1,13,1,B,90,13,106,2,4,6
U,8,117,T,74,53,106,2,14,2,B,87,12,105,1,3,5
U,8,118,T,75,54,106,1,14,2,B,86,11,105,2,3,5
U,8,119,T,78,55,105,2,14,3,B,83,10,106,1,3,4
U,8,120,T,79,56,105,1,14,3,B,82,9,106,2,3,4
U,7,121,B,66,17,106,2,5,0,T,95,48,105,1,12,7
U,7,122,B,67,18,106,1,5,0,T,94,47,105,2,12,7
U,7,123,B,70,19,105,2,5,1,T,91,46,106,1,12,6
U,7,124,B,71,20,105,1,5,1,T,90,45,106,2,12,6
U,7,125,B,74,21,106,2,6,2,T,87,44,105,1,11,5
U,7,126,B,75,22,106,1,6,2,T,86,43,105,2,11,5
U,7,127,B,78,23,105,2,6,3,T,83,42,106,1,11,4
U,7,128,B,79,24,105,1,6,3,T,82,41,106,2,11,4
U,7,129,B,82,41,106,2,11,4,T,79,24,105,1,6,3
U,7,130,B,83,42,106,1,11,4,T,78,23,105,2,6,3
U,7,131,B,86,43,105,2,11,5,T,75,22,106,1,6,2
U,7,132,B,87,44,105,1,11,5,T,74,21,106,2,6,2
U,7,133,B,90,45,106,2,12,6,T,71,20,105,1,5,1
U,7,134,B,91,46,106,1,12,6,T,70,19,105,2,5,1
U,7,135,B,94,47,105,2,12,7,T,67,18,106,1,5,0
U,7,136,B,95,48,105,1,12,7,T,66,17,106,2,5,0
U,7,137,T,66,1,106,2,1,0,B,95,64,105,1,16,7
U,7,138,T,67,2,106,1,1,0,B,94,63,105,2,16,6
U,7,139,T,70,3,105,2,1,1,B,91,62,106,1,16,6
U,7,140,T,71,4,105,1,1,1,B,90,61,106,2,16,6
U,7,141,T,74,5,106,2,2,2,B,87,60,105,1,15,5
U,7,142,T,75,6,106,1,2,2,B,86,59,105,2,15,5
U,7,143,T,78,7,105,2,2,3,B,83,58,106,1,15,4
U,7,144,T,79,8,105,1,2,3,B,82,57,106,2,15,4
U,7,145,T,82,25,106,2,7,4,B,79,40,105,1,10,3
U,7,146,T,83,26,106,1,7,4,B,78,39,105,2,10,3
U,7,147,T,86,27,105,2,7,5,B,75,38,106,1,10,2
U,7,148,T,87,28,105,1,7,5,B,74,37,106,2,10,2
U,7,149,T,90,29,106,2,8,6,B,71,36,105,1,9,1
U,7,150,T,91,30,106,1,8,6,B,70,35,105,2,9,1
