,,,Installation Bottom,,,,,,,Installation Top,,,,,,
Layer,Headboard,Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan
V,1,1,T,95,48,105,1,12,7,B,66,17,106,2,5,0
V,1,2,T,94,47,105,2,12,7,B,67,18,106,1,5,0
V,1,3,T,91,46,106,1,12,6,B,70,19,105,2,5,1
V,1,4,T,90,45,106,2,12,6,B,71,20,105,1,5,1
V,1,5,T,87,44,105,1,11,5,B,74,21,106,2,6,2
V,1,6,T,86,43,105,2,11,5,B,75,22,106,1,6,2
V,1,7,T,83,42,106,1,11,4,B,78,23,105,2,6,3
V,1,8,T,82,41,106,2,11,4,B,79,24,105,1,6,3
V,1,9,T,79,24,105,1,6,3,B,82,41,106,2,11,4
V,1,10,T,78,23,105,2,6,3,B,83,42,106,1,11,4
V,1,11,T,75,22,106,1,6,2,B,86,43,105,2,11,5
V,1,12,T,74,21,106,2,6,2,B,87,44,105,1,11,5
V,1,13,T,71,20,105,1,5,1,B,90,45,106,2,12,6
V,1,14,T,70,19,105,2,5,1,B,91,46,106,1,12,6
V,1,15,T,67,18,106,1,5,0,B,94,47,105,2,12,7
V,1,16,T,66,17,106,2,5,0,B,95,48,105,1,12,7
V,1,17,B,95,64,105,1,16,7,T,66,1,106,2,1,0
V,1,18,B,94,63,105,2,16,7,T,67,2,106,1,1,0
V,1,19,B,91,62,106,1,16,6,T,70,3,105,2,1,1
V,1,20,B,90,61,106,2,16,6,T,71,4,105,1,1,1
V,1,21,B,87,60,105,1,15,5,T,74,5,106,2,2,2
V,1,22,B,86,59,105,2,15,5,T,75,6,106,1,2,2
V,1,23,B,83,58,106,1,15,4,T,78,7,105,2,2,3
V,1,24,B,82,57,106,2,15,4,T,79,8,105,1,2,3
V,1,25,B,79,40,105,1,10,3,T,82,25,106,2,7,4
V,1,26,B,78,39,105,2,10,3,T,83,26,106,1,7,4
V,1,27,B,75,38,106,1,10,2,T,86,27,105,2,7,5
V,1,28,B,74,37,106,2,10,2,T,87,28,105,1,7,5
V,1,29,B,71,36,105,1,9,1,T,90,29,106,2,8,6
V,1,30,B,70,35,105,2,9,1,T,91,30,106,1,8,6
V,1,31,B,67,34,106,1,9,0,T,94,31,105,2,8,7
V,1,32,B,66,33,106,2,9,0,T,95,32,105,1,8,7
V,1,33,B,95,16,105,1,4,7,T,66,49,106,2,13,0
V,1,34,B,94,15,105,2,4,7,T,67,50,106,1,13,0
V,1,35,B,91,14,106,1,4,6,T,70,51,105,2,13,1
V,1,36,B,90,13,106,2,4,6,T,71,52,105,1,13,1
V,1,37,B,87,12,105,1,3,5,T,74,53,106,2,14,2
V,1,38,B,86,11,105,2,3,5,T,75,54,106,1,14,2
V,1,39,B,83,10,106,1,3,4,T,78,55,105,2,14,3
V,1,40,B,82,9,106,2,3,4,T,79,56,105,1,14,3
V,2,41,T,95,48,105,1,12,7,B,66,17,106,2,5,0
V,2,42,T,94,47,105,2,12,7,B,67,18,106,1,5,0
V,2,43,T,91,46,106,1,12,6,B,70,19,105,2,5,1
V,2,44,T,90,45,106,2,12,6,B,71,20,105,1,5,1
V,2,45,T,87,44,105,1,11,5,B,74,21,106,2,6,2
V,2,46,T,86,43,105,2,11,5,B,75,22,106,1,6,2
V,2,47,T,83,42,106,1,11,4,B,78,23,105,2,6,3
V,2,48,T,82,41,106,2,11,4,B,79,24,105,1,6,3
V,2,49,T,79,24,105,1,6,3,B,82,41,106,2,11,4
V,2,50,T,78,23,105,2,6,3,B,83,42,106,1,11,4
V,2,51,T,75,22,106,1,6,2,B,86,43,105,2,11,5
V,2,52,T,74,21,106,2,6,2,B,87,44,105,1,11,5
V,2,53,T,71,20,105,1,5,1,B,90,45,106,2,12,6
V,2,54,T,70,19,105,2,5,1,B,91,46,106,1,12,6
