,,,Installation Bottom,,,,,,,Installation Top,,,,,,
Layer,Headboard,Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan
X,1,1,T,95,64,105,1,16,7,B,66,1,106,2,1,0
X,1,2,T,94,63,105,2,16,7,B,67,2,106,1,1,0
X,1,3,T,91,62,106,1,16,6,B,70,3,105,2,1,1
X,1,4,T,90,61,106,2,16,6,B,71,4,105,1,1,1
X,1,5,T,87,60,105,1,15,5,B,74,5,106,2,2,2
X,1,6,T,86,59,105,2,15,5,B,75,6,106,1,2,2
X,1,7,T,83,58,106,1,15,4,B,78,7,105,2,2,3
X,1,8,T,82,57,106,2,15,4,B,79,8,105,1,2,3
X,1,9,T,79,40,105,1,10,3,B,82,25,106,2,7,4
X,1,10,T,78,39,105,2,10,3,B,83,26,106,1,7,4
X,1,11,T,75,38,106,1,10,2,B,86,27,105,2,7,5
X,1,12,T,74,37,106,2,10,2,B,87,28,105,1,7,5
X,1,13,T,71,36,105,1,9,1,B,90,29,106,2,8,6
X,1,14,T,70,35,105,2,9,1,B,91,30,106,1,8,6
X,1,15,T,67,34,106,1,9,0,B,94,31,105,2,8,7
X,1,16,T,66,33,106,2,9,0,B,95,32,105,1,8,7
X,1,17,T,95,16,105,1,4,7,B,66,49,106,2,13,0
X,1,18,T,94,15,105,2,4,7,B,67,50,106,1,13,0
X,1,19,T,91,14,106,1,4,6,B,70,51,105,2,13,1
X,1,20,T,90,13,106,2,4,6,B,71,52,105,1,13,1
X,1,21,T,87,12,105,1,3,5,B,74,53,106,2,14,2
X,1,22,T,86,11,105,2,3,5,B,75,54,106,1,14,2
X,1,23,T,83,10,106,1,3,4,B,78,55,105,2,14,3
X,1,24,T,82,9,106,2,3,4,B,79,56,105,1,14,3
X,1,25,B,79,56,105,1,14,3,T,82,9,106,2,3,4
X,1,26,B,78,55,105,2,14,3,T,83,10,106,1,3,4
X,1,27,B,75,54,106,1,14,2,T,86,11,105,2,3,5
X,1,28,B,74,53,106,2,14,2,T,87,12,105,1,3,5
X,1,29,B,71,52,105,1,13,1,T,90,13,106,2,4,6
X,1,30,B,70,51,105,2,13,1,T,91,14,106,1,4,6
X,1,31,B,67,50,106,1,13,0,T,94,15,105,2,4,7
X,1,32,B,66,49,106,2,13,0,T,95,16,105,1,4,7
X,1,33,B,95,32,105,1,8,7,T,66,33,106,2,9,0
X,1,34,B,94,31,105,2,8,7,T,67,34,106,1,9,0
X,1,35,B,91,30,106,1,8,6,T,70,35,105,2,9,1
X,1,36,B,90,29,106,2,8,6,T,71,36,105,1,9,1
X,1,37,B,87,28,105,1,7,5,T,74,37,106,2,10,2
X,1,38,B,86,27,105,2,7,5,T,75,38,106,1,10,2
X,1,39,B,83,26,106,1,7,4,T,78,39,105,2,10,3
X,1,40,B,82,25,106,2,7,4,T,79,40,105,1,10,3
X,1,41,B,79,8,105,1,2,3,T,82,57,106,2,15,4
X,1,42,B,78,7,105,2,2,3,T,83,58,106,1,15,4
X,1,43,B,75,6,106,1,2,2,T,86,59,105,2,15,5
X,1,44,B,74,5,106,2,2,2,T,87,60,105,1,15,5
X,1,45,B,71,4,105,1,1,1,T,90,61,106,2,16,6
X,1,46,B,70,3,105,2,1,1,T,91,62,106,1,16,6
X,1,47,B,67,2,106,1,1,0,T,94,63,105,2,16,7
X,1,48,B,66,1,106,2,1,0,T,95,64,105,1,16,7
X,1,49,T,95,64,105,1,16,7,B,66,1,106,2,1,0
X,2,50,T,94,63,105,2,16,7,B,67,2,106,1,1,0
X,2,51,T,91,62,106,1,16,6,B,70,3,105,2,1,1
X,2,52,T,90,61,106,2,16,6,B,71,4,105,1,1,1
X,2,53,T,87,60,105,1,15,5,B,74,5,106,2,2,2
X,2,54,T,86,59,105,2,15,5,B,75,6,106,1,2,2
X,2,55,T,83,58,106,1,15,4,B,78,7,105,2,2,3
X,2,56,T,82,57,106,2,15,4,B,79,8,105,1,2,3
X,2,57,T,79,40,105,1,10,3,B,82,25,106,2,7,4
X,2,58,T,78,39,105,2,10,3,B,83,26,106,1,7,4
X,2,59,T,75,38,106,1,10,2,B,86,27,105,2,7,5
X,2,60,T,74,37,106,2,10,2,B,87,28,105,1,7,5
X,2,61,T,71,36,105,1,9,1,B,90,29,106,2,8,6
X,2,62,T,70,35,105,2,9,1,B,91,30,106,1,8,6
X,2,63,T,67,34,106,1,9,0,B,94,31,105,2,8,7
X,2,64,T,66,33,106,2,9,0,B,95,32,105,1,8,7
X,2,65,T,95,16,105,1,4,7,B,66,49,106,2,13,0
X,2,66,T,94,15,105,2,4,7,B,67,50,106,1,13,0
X,2,67,T,91,14,106,1,4,6,B,70,51,105,2,13,1
X,2,68,T,90,13,106,2,4,6,B,71,52,105,1,13,1
X,2,69,T,87,12,105,1,3,5,B,74,53,106,2,14,2
X,2,70,T,86,11,105,2,3,5,B,75,54,106,1,14,2
X,2,71,T,83,10,106,1,3,4,B,78,55,105,2,14,3
X,2,72,T,82,9,106,2,3,4,B,79,56,105,1,14,3
X,2,73,B,79,56,105,1,14,3,T,82,9,106,2,3,4
X,2,74,B,78,55,105,2,14,3,T,83,10,106,1,3,4
X,2,75,B,75,54,106,1,14,2,T,86,11,105,2,3,5
X,2,76,B,74,53,106,2,14,2,T,87,12,105,1,3,5
X,2,77,B,71,52,105,1,13,1,T,90,13,106,2,4,6
X,2,78,B,70,51,105,2,13,1,T,91,14,106,1,4,6
X,2,79,B,67,50,106,1,13,0,T,94,15,105,2,4,7
X,2,80,B,66,49,106,2,13,0,T,95,16,105,1,4,7
X,2,81,B,95,32,105,1,8,7,T,66,33,106,2,9,0
X,2,82,B,94,31,105,2,8,7,T,67,34,106,1,9,0
X,2,83,B,91,30,106,1,8,6,T,70,35,105,2,9,1
X,2,84,B,90,29,106,2,8,6,T,71,36,105,1,9,1
X,2,85,B,87,28,105,1,7,5,T,74,37,106,2,10,2
X,2,86,B,86,27,105,2,7,5,T,75,38,106,1,10,2
X,2,87,B,83,26,106,1,7,4,T,78,39,105,2,10,3
X,2,88,B,82,25,106,2,7,4,T,79,40,105,1,10,3
