Sample in Buffer,Sample in Window,TRIGGER,fifoAutoDC_ren,fifoAutoDC_dout[15:0],m_axis_tid[4:0]
0,0,0,0,017e,18
1,1,0,0,017e,18
2,2,0,0,017e,18
3,3,0,0,017e,18
4,4,0,0,017e,18
5,5,0,0,017e,18
6,6,0,0,017e,18
7,7,0,0,017e,18
8,8,0,0,017e,18
9,9,0,0,017e,18
10,10,0,0,017e,18
11,11,0,0,017e,18
12,12,0,0,017e,18
13,13,0,0,017e,18
14,14,0,0,017e,18
15,15,0,0,017e,18
16,16,0,0,017e,18
17,17,0,0,017e,18
18,18,0,0,017e,18
19,19,0,0,017e,18
20,20,0,0,017e,18
21,21,0,0,017e,18
22,22,0,0,017e,18
23,23,0,0,017e,18
24,24,0,0,017e,18
25,25,0,0,017e,18
26,26,0,0,017e,18
27,27,0,0,017e,18
28,28,0,0,017e,18
29,29,0,0,017e,18
30,30,0,0,017e,18
31,31,0,0,017e,18
32,32,0,0,017e,18
33,33,0,0,017e,18
34,34,0,0,017e,18
35,35,0,0,017e,18
36,36,0,0,017e,18
37,37,0,0,017e,18
38,38,0,0,017e,18
39,39,0,0,017e,18
40,40,0,0,017e,18
41,41,0,0,017e,18
42,42,0,0,017e,18
43,43,0,0,017e,18
44,44,0,0,017e,18
45,45,0,0,017e,18
46,46,0,0,017e,18
47,47,0,0,017e,18
48,48,0,0,017e,18
49,49,0,0,017e,18
50,50,0,0,017e,18
51,51,0,0,017e,18
52,52,0,0,017e,18
53,53,0,0,017e,18
54,54,0,0,017e,18
55,55,0,0,017e,18
56,56,0,0,017e,18
57,57,0,0,017e,18
58,58,0,0,017e,18
59,59,0,0,017e,18
60,60,0,0,017e,18
61,61,0,0,017e,18
62,62,0,0,017e,18
63,63,0,0,017e,18
64,64,0,0,017e,18
65,65,0,0,017e,18
66,66,0,0,017e,18
67,67,0,0,017e,18
68,68,0,0,017e,18
69,69,0,0,017e,18
70,70,0,0,017e,18
71,71,0,0,017e,18
72,72,0,0,017e,18
73,73,0,0,017e,18
74,74,0,0,017e,18
75,75,0,0,017e,18
76,76,0,0,017e,18
77,77,0,0,017e,18
78,78,0,0,017e,18
79,79,0,0,017e,18
80,80,0,0,017e,18
81,81,0,0,017e,18
82,82,0,0,017e,18
83,83,0,0,017e,18
84,84,0,0,017e,18
85,85,0,0,017e,18
86,86,0,0,017e,18
87,87,0,0,017e,18
88,88,0,0,017e,18
89,89,0,0,017e,18
90,90,0,0,017e,18
91,91,0,0,017e,18
92,92,0,0,017e,03
93,93,0,0,017e,03
94,94,0,0,017e,03
95,95,0,0,017e,03
96,96,0,0,017e,03
97,97,0,0,017e,03
98,98,0,0,017e,03
99,99,0,0,017e,03
100,100,0,0,017e,03
101,101,0,0,017e,03
102,102,0,0,017e,03
103,103,0,0,017e,03
104,104,0,0,017e,03
105,105,0,0,017e,03
106,106,0,0,017e,03
107,107,0,0,017e,03
108,108,0,0,017e,03
109,109,0,0,017e,03
110,110,0,0,017e,03
111,111,0,0,017e,03
112,112,0,0,017e,03
113,113,0,0,017e,03
114,114,0,0,017e,03
115,115,0,0,017e,03
116,116,0,0,017e,03
117,117,0,0,017e,03
118,118,0,0,017e,03
119,119,0,0,017e,03
120,120,0,0,017e,03
121,121,0,0,017e,03
122,122,0,0,017e,03
123,123,0,0,017e,03
124,124,0,0,017e,03
125,125,0,0,017e,03
126,126,0,0,017e,03
127,127,0,0,017e,03
128,128,0,0,017e,03
129,129,0,0,017e,03
130,130,0,0,017e,03
131,131,0,0,017e,03
132,132,0,0,017e,03
133,133,0,0,017e,03
134,134,0,0,017e,03
135,135,0,0,017e,03
136,136,0,0,017e,03
137,137,0,0,017e,03
138,138,0,0,017e,03
139,139,0,0,017e,03
140,140,0,0,017e,03
141,141,0,0,017e,03
142,142,0,0,017e,03
143,143,0,0,017e,03
144,144,0,0,017e,03
145,145,0,0,017e,03
146,146,0,0,017e,03
147,147,0,0,017e,03
148,148,0,0,017e,03
149,149,0,0,017e,03
150,150,0,0,017e,03
151,151,0,0,017e,03
152,152,0,0,017e,03
153,153,0,0,017e,03
154,154,0,0,017e,03
155,155,0,0,017e,03
156,156,0,0,017e,03
157,157,0,0,017e,03
158,158,0,0,017e,03
159,159,0,0,017e,03
160,160,0,0,017e,03
161,161,0,0,017e,03
162,162,0,0,017e,03
163,163,0,0,017e,03
164,164,0,0,017e,03
165,165,0,0,017e,03
166,166,0,0,017e,03
167,167,0,0,017e,03
168,168,0,0,017e,03
169,169,0,0,017e,03
170,170,0,0,017e,03
171,171,0,0,017e,03
172,172,0,0,017e,03
173,173,0,0,017e,03
174,174,0,0,017e,03
175,175,0,0,017e,03
176,176,0,0,017e,03
177,177,0,0,017e,03
178,178,0,0,017e,03
179,179,0,0,017e,03
180,180,0,0,017e,03
181,181,0,0,017e,03
182,182,0,0,017e,03
183,183,0,0,017e,03
184,184,0,0,017e,03
185,185,0,0,017e,03
186,186,0,0,017e,03
187,187,0,0,017e,03
188,188,0,0,017e,03
189,189,0,0,017e,03
190,190,0,0,017e,03
191,191,0,0,017e,03
192,192,0,0,017e,03
193,193,0,0,017e,03
194,194,0,0,017e,03
195,195,0,0,017e,03
196,196,0,0,017e,10
197,197,0,0,017e,10
198,198,0,0,017e,10
199,199,0,0,017e,10
200,200,0,0,017e,10
201,201,0,0,017e,10
202,202,0,0,017e,10
203,203,0,0,017e,10
204,204,0,0,017e,10
205,205,0,0,017e,10
206,206,0,0,017e,10
207,207,0,0,017e,10
208,208,0,0,017e,10
209,209,0,0,017e,10
210,210,0,0,017e,10
211,211,0,0,017e,10
212,212,0,0,017e,10
213,213,0,0,017e,10
214,214,0,0,017e,10
215,215,0,0,017e,10
216,216,0,0,017e,10
217,217,0,0,017e,10
218,218,0,0,017e,10
219,219,0,0,017e,10
220,220,0,0,017e,10
221,221,0,0,017e,10
222,222,0,0,017e,10
223,223,0,0,017e,10
224,224,0,0,017e,10
225,225,0,0,017e,10
226,226,0,0,017e,10
227,227,0,0,017e,10
228,228,0,0,017e,10
229,229,0,0,017e,10
230,230,0,0,017e,10
231,231,0,0,017e,10
232,232,0,0,017e,10
233,233,0,0,017e,10
234,234,0,0,017e,10
235,235,0,0,017e,10
236,236,0,0,017e,10
237,237,0,0,017e,10
238,238,0,0,017e,10
239,239,0,0,017e,10
